Category,City,Country/Region,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State/Province,Sub-Category,Discount,Profit,Quantity,Sales
Office Supplies,Portage,United States,Vivian Mathis,Avery,22/03/2020,US-2020-129609,46368,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Central,Consumer,22/03/2020,Same Day,Indiana,Art,0.0,6.512,2,16.28
Office Supplies,Greensboro,United States,Craig Carroll,GBC,22/03/2020,US-2020-158057,27405,GBC Prestige Therm-A-Bind Covers,South,Consumer,26/03/2020,Standard Class,North Carolina,Binders,0.7,-39.4565,5,51.465
Office Supplies,Greensboro,United States,Craig Carroll,C-Line,22/03/2020,US-2020-158057,27405,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",South,Consumer,26/03/2020,Standard Class,North Carolina,Binders,0.7,-5.8604,4,7.644
Office Supplies,Tucson,United States,Beth Fritzler,Xerox,22/03/2020,US-2020-148040,85705,Xerox 1951,West,Corporate,26/03/2020,Standard Class,Arizona,Paper,0.2,23.235,3,74.352
Office Supplies,Delray Beach,United States,Bruce Geld,Avery,23/03/2020,US-2020-164749,33445,Avery 476,South,Consumer,26/03/2020,First Class,Florida,Labels,0.2,3.2214,3,9.912
Office Supplies,Los Angeles,United States,Patrick O'Donnell,Other,23/03/2020,US-2020-120838,90036,Economy Rollaway Files,West,Consumer,26/03/2020,Second Class,California,Storage,0.0,85.904,2,330.4
Technology,Los Angeles,United States,Patrick O'Donnell,Other,23/03/2020,US-2020-120838,90036,Ooma Telo VoIP Home Phone System,West,Consumer,26/03/2020,Second Class,California,Phones,0.2,37.797,6,604.752
Furniture,Fresno,United States,Maurice Satty,DAX,24/03/2020,US-2020-143637,93727,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",West,Consumer,29/03/2020,Second Class,California,Furnishings,0.0,14.5728,2,40.48
Office Supplies,New York City,United States,Carlos Daly,Xerox,24/03/2020,US-2020-147235,10024,Xerox 190,East,Consumer,28/03/2020,Standard Class,New York,Paper,0.0,11.703,5,24.9
Furniture,New York City,United States,Annie Zypern,Iceberg,25/03/2020,US-2020-148586,10009,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",East,Consumer,01/04/2020,Standard Class,New York,Chairs,0.1,65.2064,7,366.786
Office Supplies,San Francisco,United States,Christina Anderson,BIC,25/03/2020,US-2020-128237,94110,"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",West,Consumer,30/03/2020,Standard Class,California,Art,0.0,9.9216,6,25.44
Office Supplies,San Francisco,United States,Christina Anderson,Other,25/03/2020,US-2020-128237,94110,"Eberhard Faber 3 1/2"" Golf Pencils",West,Consumer,30/03/2020,Standard Class,California,Art,0.0,3.72,2,14.88
Office Supplies,San Francisco,United States,Christina Anderson,Newell,25/03/2020,US-2020-128237,94110,Newell 35,West,Consumer,30/03/2020,Standard Class,California,Art,0.0,1.9024,2,6.56
Technology,San Francisco,United States,Christina Anderson,Imation,25/03/2020,US-2020-128237,94110,Imation Swivel Flash Drive USB flash drive - 8 GB,West,Consumer,30/03/2020,Standard Class,California,Accessories,0.0,15.918,4,45.48
Office Supplies,San Francisco,United States,Damala Kotsonis,Newell,26/03/2020,US-2020-141838,94122,Newell 308,West,Corporate,31/03/2020,Second Class,California,Art,0.0,0.84,2,3.36
Office Supplies,San Francisco,United States,Damala Kotsonis,Wilson Jones,26/03/2020,US-2020-141838,94122,Wilson Jones Leather-Like Binders with DublLock Round Rings,West,Corporate,31/03/2020,Second Class,California,Binders,0.2,9.4284,4,27.936
Office Supplies,Pomona,United States,Cindy Stewart,Smead,26/03/2020,US-2020-100860,91767,Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set,West,Consumer,30/03/2020,Second Class,California,Labels,0.0,9.0,5,18.75
Technology,Los Angeles,United States,Jonathan Doherty,SanDisk,26/03/2020,US-2020-138436,90036,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,West,Corporate,30/03/2020,Standard Class,California,Accessories,0.0,8.619,3,66.3
Technology,San Francisco,United States,Damala Kotsonis,Griffin,26/03/2020,US-2020-141838,94122,Griffin GC17055 Auxiliary Audio Cable,West,Corporate,31/03/2020,Second Class,California,Phones,0.2,2.8784,2,28.784
Furniture,Springfield,United States,Mike Pelletier,Chromcraft,28/03/2020,US-2020-117380,45503,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,East,Home Office,03/04/2020,Standard Class,Ohio,Tables,0.4,-143.2548,1,330.588
Furniture,Des Moines,United States,Christina VanderZanden,Hon,28/03/2020,US-2020-137869,50315,Hon 94000 Series Round Tables,Central,Consumer,02/04/2020,Standard Class,Iowa,Tables,0.0,106.6248,4,1184.72
Office Supplies,Des Moines,United States,Christina VanderZanden,Poly,28/03/2020,US-2020-137869,50315,Poly String Tie Envelopes,Central,Consumer,02/04/2020,Standard Class,Iowa,Envelopes,0.0,2.8764,3,6.12
Technology,Albuquerque,United States,Daniel Raglin,AT&T,28/03/2020,US-2020-100881,87105,AT&T TR1909W,West,Home Office,01/04/2020,Standard Class,New Mexico,Phones,0.2,22.6782,3,302.376
Furniture,Plano,United States,Mike Gockenbach,Bush,29/03/2020,US-2020-137274,75023,Bush Advantage Collection Racetrack Conference Table,Central,Consumer,02/04/2020,Standard Class,Texas,Tables,0.3,-152.7156,3,890.841
Furniture,San Francisco,United States,Guy Armstrong,O'Sullivan,30/03/2020,US-2020-131247,94110,O'Sullivan Living Dimensions 2-Shelf Bookcases,West,Consumer,04/04/2020,Standard Class,California,Bookcases,0.15,-12.098,2,205.666
Furniture,Brownsville,United States,Mark Packer,Global,30/03/2020,US-2020-162089,78521,"Global Stack Chair without Arms, Black",Central,Home Office,01/04/2020,First Class,Texas,Chairs,0.3,-9.093,7,127.302
Office Supplies,New York City,United States,Susan Gilcrest,Sanford,30/03/2020,US-2020-105151,10009,"Sanford EarthWrite Recycled Pencils, Medium Soft, #2",East,Corporate,31/03/2020,First Class,New York,Art,0.0,2.94,5,10.5
Office Supplies,Long Beach,United States,Kunst Miller,Other,30/03/2020,US-2020-169033,11561,Peel-Off China Markers,East,Consumer,03/04/2020,Standard Class,New York,Art,0.0,20.853,5,49.65
Office Supplies,Brownsville,United States,Mark Packer,Other,30/03/2020,US-2020-162089,78521,Airmail Envelopes,Central,Home Office,01/04/2020,First Class,Texas,Envelopes,0.2,113.3055,5,335.72
Office Supplies,Seattle,United States,Dorris liebe,Avery,30/03/2020,US-2020-133424,98105,Avery 490,West,Corporate,04/04/2020,Standard Class,Washington,Labels,0.0,22.2,3,44.4
Office Supplies,Apple Valley,United States,Nat Carroll,Space Solutions,30/03/2020,US-2020-113124,55124,Space Solutions Commercial Steel Shelving,Central,Consumer,05/04/2020,Standard Class,Minnesota,Storage,0.0,6.465,2,129.3
Office Supplies,Seattle,United States,Dorris liebe,Sterilite,30/03/2020,US-2020-133424,98105,Sterilite Show Offs Storage Containers,West,Corporate,04/04/2020,Standard Class,Washington,Storage,0.0,0.0,3,15.84
Technology,Brownsville,United States,Mark Packer,Other,30/03/2020,US-2020-162089,78521,Innergie mMini Combo Duo USB Travel Charging Kit,Central,Home Office,01/04/2020,First Class,Texas,Phones,0.2,88.1804,7,251.944
Furniture,Tampa,United States,Trudy Glocke,Global,31/03/2020,US-2020-130428,33614,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",South,Consumer,31/03/2020,Same Day,Florida,Chairs,0.2,98.4802,7,1125.488
Office Supplies,San Francisco,United States,Alex Avila,Fellowes,31/03/2020,US-2020-128055,94122,Fellowes Advanced Computer Series Surge Protectors,West,Consumer,05/04/2020,Standard Class,California,Appliances,0.0,14.8344,2,52.98
Office Supplies,Tampa,United States,Trudy Glocke,Binney & Smith,31/03/2020,US-2020-130428,33614,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",South,Consumer,31/03/2020,Same Day,Florida,Art,0.2,1.0584,2,4.032
Office Supplies,Miami,United States,Karen Bern,Avery,31/03/2020,US-2020-101770,33180,Avery Hole Reinforcements,South,Corporate,04/04/2020,Standard Class,Florida,Binders,0.7,-1.3083,1,1.869
Office Supplies,Tampa,United States,Trudy Glocke,Ibico,31/03/2020,US-2020-130428,33614,Ibico Plastic and Wire Spiral Binding Combs,South,Consumer,31/03/2020,Same Day,Florida,Binders,0.7,-10.116,5,12.645
Office Supplies,Chicago,United States,Dorothy Dickinson,Fellowes,31/03/2020,US-2020-104759,60610,Fellowes Black Plastic Comb Bindings,Central,Consumer,04/04/2020,Standard Class,Illinois,Binders,0.8,-13.8278,7,8.134
Office Supplies,Philadelphia,United States,Jas O'Carroll,Avery,31/03/2020,US-2020-112403,19120,Avery Round Ring Poly Binders,East,Consumer,31/03/2020,Same Day,Pennsylvania,Binders,0.7,-0.5964,1,0.852
Office Supplies,San Francisco,United States,Alex Avila,GBC,31/03/2020,US-2020-128055,94122,GBC DocuBind 200 Manual Binding Machine,West,Consumer,05/04/2020,Standard Class,California,Binders,0.2,252.588,2,673.568
Technology,Chicago,United States,Dorothy Dickinson,Kensington,31/03/2020,US-2020-104759,60610,Kensington SlimBlade Notebook Wireless Mouse with Nano Receiver,Central,Consumer,04/04/2020,Standard Class,Illinois,Accessories,0.2,13.9972,2,79.984
Office Supplies,Vallejo,United States,Kunst Miller,Pressboard,01/04/2020,US-2020-157021,94591,"Pressboard Data Binder, Crimson, 12"" X 8 1/2""",West,Consumer,06/04/2020,Second Class,California,Binders,0.2,5.5536,4,17.088
Office Supplies,Revere,United States,Katharine Harms,Other,01/04/2020,US-2020-138359,2151,Zipper Ring Binder Pockets,East,Corporate,06/04/2020,Standard Class,Massachusetts,Binders,0.0,3.0576,2,6.24
Office Supplies,Vallejo,United States,Kunst Miller,Avery,01/04/2020,US-2020-157021,94591,Avery 490,West,Consumer,06/04/2020,Second Class,California,Labels,0.0,14.8,2,29.6
Office Supplies,Revere,United States,Katharine Harms,Rogers,01/04/2020,US-2020-138359,2151,Rogers Profile Extra Capacity Storage Tub,East,Corporate,06/04/2020,Standard Class,Massachusetts,Storage,0.0,2.6784,4,66.96
Furniture,Virginia Beach,United States,Anna Häberlin,Luxo,02/04/2020,US-2020-160276,23464,Luxo Adjustable Task Clamp Lamp,South,Corporate,08/04/2020,Standard Class,Virginia,Furnishings,0.0,46.1968,2,177.68
Office Supplies,Athens,United States,Rob Dowd,Euro Pro,02/04/2020,US-2020-164315,30605,Euro-Pro Shark Turbo Vacuum,South,Consumer,08/04/2020,Standard Class,Georgia,Appliances,0.0,40.274,5,154.9
Office Supplies,Houston,United States,Sam Craven,Xerox,02/04/2020,US-2020-157847,77095,Xerox 1947,Central,Consumer,06/04/2020,Second Class,Texas,Paper,0.2,10.465,7,33.488
Office Supplies,Houston,United States,Sam Craven,Xerox,02/04/2020,US-2020-157847,77095,Xerox 1898,Central,Consumer,06/04/2020,Second Class,Texas,Paper,0.2,9.352,5,26.72
Office Supplies,Athens,United States,Rob Dowd,Xerox,02/04/2020,US-2020-164315,30605,Xerox 1990,South,Consumer,08/04/2020,Standard Class,Georgia,Paper,0.0,7.128,3,15.84
Technology,Athens,United States,Rob Dowd,Motorola,02/04/2020,US-2020-164315,30605,Motorola Droid Maxx,South,Consumer,08/04/2020,Standard Class,Georgia,Phones,0.0,293.9804,7,1049.93
Office Supplies,Los Angeles,United States,Katrina Edelman,Staple envelope,03/04/2020,US-2020-112291,90008,Staple envelope,West,Corporate,08/04/2020,Standard Class,California,Envelopes,0.0,5.58,2,11.16
Technology,Los Angeles,United States,Katrina Edelman,Logitech,03/04/2020,US-2020-112291,90008,Logitech G600 MMO Gaming Mouse,West,Corporate,08/04/2020,Standard Class,California,Accessories,0.0,57.5928,2,159.98
Technology,Los Angeles,United States,Katrina Edelman,Enermax,03/04/2020,US-2020-112291,90008,Enermax Briskie RF Wireless Keyboard and Mouse Combo,West,Corporate,08/04/2020,Standard Class,California,Accessories,0.0,22.4316,3,62.31
Furniture,Detroit,United States,Maurice Satty,Advantus,04/04/2020,US-2020-133228,48205,Advantus Panel Wall Acrylic Frame,Central,Consumer,09/04/2020,Standard Class,Michigan,Furnishings,0.0,2.3521,1,5.47
Office Supplies,Detroit,United States,Maurice Satty,Newell,04/04/2020,US-2020-133228,48205,Newell 319,Central,Consumer,09/04/2020,Standard Class,Michigan,Art,0.0,23.808,4,79.36
Office Supplies,Los Angeles,United States,Mary Zewe,Avery,04/04/2020,US-2020-128685,90008,Avery Non-Stick Binders,West,Corporate,05/04/2020,First Class,California,Binders,0.2,2.245,2,7.184
Office Supplies,San Francisco,United States,Paul Knutson,Avery,04/04/2020,US-2020-105172,94109,Avery 518,West,Home Office,09/04/2020,Standard Class,California,Labels,0.0,9.072,6,18.9
Office Supplies,Lafayette,United States,Ken Black,Xerox,04/04/2020,US-2020-149538,70506,Xerox 1966,South,Corporate,08/04/2020,Standard Class,Louisiana,Paper,0.0,6.3504,2,12.96
Office Supplies,Lafayette,United States,Ken Black,Xerox,04/04/2020,US-2020-149538,70506,Xerox 209,South,Corporate,08/04/2020,Standard Class,Louisiana,Paper,0.0,9.3312,3,19.44
Office Supplies,Lafayette,United States,Ken Black,SAFCO,04/04/2020,US-2020-149538,70506,Safco Commercial Shelving,South,Corporate,08/04/2020,Standard Class,Louisiana,Storage,0.0,9.302,5,232.55
Technology,Lafayette,United States,Ken Black,Logitech,04/04/2020,US-2020-149538,70506,Logitech Wireless Marathon Mouse M705,South,Corporate,08/04/2020,Standard Class,Louisiana,Accessories,0.0,42.9914,2,99.98
Office Supplies,Alexandria,United States,Greg Maxwell,Newell,05/04/2020,US-2020-102988,22304,Newell 321,South,Corporate,09/04/2020,Second Class,Virginia,Art,0.0,6.6584,7,22.96
Office Supplies,Dearborn Heights,United States,Ruben Dartt,Stanley,05/04/2020,US-2020-149104,48127,Stanley Contemporary Battery Pencil Sharpeners,Central,Consumer,07/04/2020,Second Class,Michigan,Art,0.0,7.476,2,26.7
Office Supplies,Dearborn Heights,United States,Ruben Dartt,Binney & Smith,05/04/2020,US-2020-149104,48127,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Central,Consumer,07/04/2020,Second Class,Michigan,Art,0.0,4.5837,3,13.89
Office Supplies,Alexandria,United States,Greg Maxwell,Crayola,05/04/2020,US-2020-102988,22304,Crayola Colored Pencils,South,Corporate,09/04/2020,Second Class,Virginia,Art,0.0,7.5768,7,22.96
Office Supplies,Richmond,United States,Roy Phan,Ibico,05/04/2020,US-2020-157231,40475,Ibico Standard Transparent Covers,South,Corporate,09/04/2020,Standard Class,Kentucky,Binders,0.0,56.5264,7,115.36
Office Supplies,Dearborn Heights,United States,Ruben Dartt,Fellowes,05/04/2020,US-2020-149104,48127,"Fellowes Twister Kit, Gray/Clear, 3/pkg",Central,Consumer,07/04/2020,Second Class,Michigan,Binders,0.0,18.09,5,40.2
Office Supplies,Alexandria,United States,Greg Maxwell,Xerox,05/04/2020,US-2020-102988,22304,Xerox 1957,South,Corporate,09/04/2020,Second Class,Virginia,Paper,0.0,6.3504,2,12.96
Office Supplies,New York City,United States,Tracy Hopkins,Other,05/04/2020,US-2020-113887,10035,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",East,Home Office,07/04/2020,First Class,New York,Paper,0.0,26.6304,1,55.48
Office Supplies,Dearborn Heights,United States,Ruben Dartt,Space Solutions,05/04/2020,US-2020-149104,48127,Space Solutions HD Industrial Steel Shelving.,Central,Consumer,07/04/2020,Second Class,Michigan,Storage,0.0,20.6946,6,689.82
Office Supplies,Decatur,United States,John Grady,Other,05/04/2020,US-2020-151001,62521,Adjustable Personal File Tote,Central,Corporate,07/04/2020,First Class,Illinois,Storage,0.2,3.9072,4,52.096
Office Supplies,Decatur,United States,John Grady,Tenex,05/04/2020,US-2020-151001,62521,"Tenex File Box, Personal Filing Tote with Lid, Black",Central,Corporate,07/04/2020,First Class,Illinois,Storage,0.2,3.7224,4,49.632
Office Supplies,Alexandria,United States,Greg Maxwell,Martin-Yale,05/04/2020,US-2020-102988,22304,Martin Yale Chadless Opener Electric Letter Opener,South,Corporate,09/04/2020,Second Class,Virginia,Supplies,0.0,83.281,5,4164.05
Technology,Alexandria,United States,Greg Maxwell,AT&T,05/04/2020,US-2020-102988,22304,AT&T CL82213,South,Corporate,09/04/2020,Second Class,Virginia,Phones,0.0,8.4071,1,28.99
Furniture,Los Angeles,United States,Andy Yotov,Tenex,06/04/2020,US-2020-102652,90049,Tenex B1-RE Series Chair Mats for Low Pile Carpets,West,Corporate,12/04/2020,Standard Class,California,Furnishings,0.0,15.6332,2,91.96
Furniture,Los Angeles,United States,Andy Yotov,C-Line,06/04/2020,US-2020-102652,90049,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,West,Corporate,12/04/2020,Standard Class,California,Furnishings,0.0,12.9129,7,33.11
Furniture,Seattle,United States,Scott Cohen,Chromcraft,06/04/2020,US-2020-169803,98115,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",West,Corporate,12/04/2020,Standard Class,Washington,Tables,0.0,111.1035,3,653.55
Furniture,Philadelphia,United States,Shirley Daniels,KI,06/04/2020,US-2020-118486,19143,KI Adjustable-Height Table,East,Home Office,08/04/2020,First Class,Pennsylvania,Tables,0.4,-36.1116,3,154.764
Office Supplies,Los Angeles,United States,Frank Hawley,Boston,06/04/2020,US-2020-153808,90004,Boston Home & Office Model 2000 Electric Pencil Sharpeners,West,Corporate,10/04/2020,Second Class,California,Art,0.0,18.447,3,70.95
Office Supplies,Los Angeles,United States,Frank Hawley,Avery,06/04/2020,US-2020-153808,90004,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",West,Corporate,10/04/2020,Second Class,California,Binders,0.2,23.7684,2,65.568
Office Supplies,Lancaster,United States,Guy Phonely,Other,06/04/2020,US-2020-136742,17602,Large Capacity Hanging Post Binders,East,Corporate,10/04/2020,Standard Class,Pennsylvania,Binders,0.7,-35.928,6,44.91
Office Supplies,Los Angeles,United States,Andy Yotov,Xerox,06/04/2020,US-2020-102652,90049,Xerox 194,West,Corporate,12/04/2020,Standard Class,California,Paper,0.0,26.6304,1,55.48
Office Supplies,Los Angeles,United States,Andy Yotov,Xerox,06/04/2020,US-2020-102652,90049,Xerox 211,West,Corporate,12/04/2020,Standard Class,California,Paper,0.0,9.3312,3,19.44
Office Supplies,Philadelphia,United States,Shirley Daniels,Martin-Yale,06/04/2020,US-2020-118486,19143,Martin-Yale Premier Letter Opener,East,Home Office,08/04/2020,First Class,Pennsylvania,Supplies,0.2,-2.1896,1,10.304
Technology,Seattle,United States,Scott Cohen,Kingston,06/04/2020,US-2020-169803,98115,Kingston Digital DataTraveler 32GB USB 2.0,West,Corporate,12/04/2020,Standard Class,Washington,Accessories,0.0,2.034,2,33.9
Technology,Los Angeles,United States,Frank Hawley,Razer,06/04/2020,US-2020-153808,90004,Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,West,Corporate,10/04/2020,Second Class,California,Accessories,0.0,131.9868,3,299.97
Technology,Philadelphia,United States,Shirley Daniels,Imation,06/04/2020,US-2020-118486,19143,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,East,Home Office,08/04/2020,First Class,Pennsylvania,Accessories,0.2,21.897,2,116.784
Furniture,Mobile,United States,Pauline Johnson,Other,07/04/2020,US-2020-124023,36608,"Stacking Tray, Side-Loading, Legal, Smoke",South,Consumer,10/04/2020,First Class,Alabama,Furnishings,0.0,2.7776,2,8.96
Office Supplies,Columbia,United States,Roland Schwarz,Xerox,07/04/2020,US-2020-128846,29203,Xerox 1945,South,Corporate,12/04/2020,Standard Class,South Carolina,Paper,0.0,60.2553,3,122.97
Office Supplies,Marietta,United States,Valerie Mitchum,Xerox,07/04/2020,US-2020-165806,30062,Xerox 226,South,Home Office,07/04/2020,Same Day,Georgia,Paper,0.0,27.9936,9,58.32
Technology,Columbia,United States,Roland Schwarz,AT&T,07/04/2020,US-2020-128846,29203,AT&T TR1909W,South,Corporate,12/04/2020,Standard Class,South Carolina,Phones,0.0,163.787,5,629.95
Technology,Marietta,United States,Valerie Mitchum,RCA,07/04/2020,US-2020-165806,30062,RCA Visys Integrated PBX 8-Line Router,South,Home Office,07/04/2020,Same Day,Georgia,Phones,0.0,50.2425,3,200.97
Furniture,Decatur,United States,Ruben Ausman,SAFCO,08/04/2020,US-2020-118997,35601,"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",South,Corporate,12/04/2020,Standard Class,Alabama,Tables,0.0,316.1392,8,1215.92
Furniture,Concord,United States,Nathan Mautz,Bevis,08/04/2020,US-2020-150581,94521,Bevis 36 x 72 Conference Tables,West,Home Office,12/04/2020,Standard Class,California,Tables,0.2,2.4898,1,99.592
Furniture,Toledo,United States,John Stevenson,Riverside,08/04/2020,US-2020-121769,43615,Riverside Furniture Stanwyck Manor Table Series,East,Consumer,12/04/2020,Standard Class,Ohio,Tables,0.4,-94.6605,1,172.11
Office Supplies,Glendale,United States,Jim Mitchum,OIC,08/04/2020,US-2020-100363,85301,Binder Clips by OIC,West,Corporate,15/04/2020,Standard Class,Arizona,Fasteners,0.2,0.8288,2,2.368
Office Supplies,Chandler,United States,Pauline Chand,Alliance,08/04/2020,US-2020-163797,85224,"Alliance Super-Size Bands, Assorted Sizes",West,Home Office,13/04/2020,Standard Class,Arizona,Fasteners,0.2,-11.8256,8,49.792
Office Supplies,Glendale,United States,Jim Mitchum,Things To Do,08/04/2020,US-2020-100363,85301,Things To Do Today Spiral Book,West,Corporate,15/04/2020,Standard Class,Arizona,Paper,0.2,6.8904,3,19.008
Technology,Concord,United States,Nathan Mautz,Logitech,08/04/2020,US-2020-150581,94521,Logitech Wireless Headset h800,West,Home Office,12/04/2020,Standard Class,California,Accessories,0.0,139.986,4,399.96
Office Supplies,Lewiston,United States,Sanjit Engle,GBC,11/04/2020,US-2020-121734,83501,GBC Personal VeloBind Strips,West,Consumer,16/04/2020,Standard Class,Idaho,Binders,0.2,3.3544,1,9.584
Office Supplies,Miami,United States,Jay Kimmel,Acco,11/04/2020,US-2020-102715,33180,"Acco Banker's Clasps, 5 3/4""-Long",South,Consumer,13/04/2020,Second Class,Florida,Fasteners,0.2,2.3328,3,6.912
Office Supplies,Miami,United States,Jay Kimmel,Xerox,11/04/2020,US-2020-102715,33180,Xerox 224,South,Consumer,13/04/2020,Second Class,Florida,Paper,0.2,3.6288,2,10.368
Office Supplies,Great Falls,United States,Michelle Moray,Eldon,11/04/2020,US-2020-110555,59405,Eldon Simplefile Box Office,West,Consumer,18/04/2020,Standard Class,Montana,Storage,0.0,24.3824,7,87.08
Technology,Miami,United States,Jay Kimmel,Logitech,11/04/2020,US-2020-102715,33180,Logitech Wireless Anywhere Mouse MX for PC and Mac,South,Consumer,13/04/2020,Second Class,Florida,Accessories,0.2,41.993,7,335.944
Technology,Miami,United States,Jay Kimmel,Logitech,11/04/2020,US-2020-102715,33180,Logitech Wireless Gaming Headset G930,South,Consumer,13/04/2020,Second Class,Florida,Accessories,0.2,81.5949,3,383.976
Technology,Great Falls,United States,Michelle Moray,Memorex,11/04/2020,US-2020-110555,59405,Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive,West,Consumer,18/04/2020,Standard Class,Montana,Accessories,0.0,91.3248,6,217.44
Technology,Great Falls,United States,Michelle Moray,AT&T,11/04/2020,US-2020-110555,59405,AT&T SB67148 SynJ,West,Consumer,18/04/2020,Standard Class,Montana,Phones,0.2,9.2386,2,105.584
Technology,Austin,United States,Gary Mitchum,Jawbone,11/04/2020,US-2020-138940,78745,Jawbone JAMBOX Wireless Bluetooth Speaker,Central,Home Office,16/04/2020,Second Class,Texas,Phones,0.2,265.4232,6,758.352
Furniture,Redondo Beach,United States,Kean Nguyen,O'Sullivan,12/04/2020,US-2020-154599,90278,O'Sullivan Living Dimensions 2-Shelf Bookcases,West,Corporate,17/04/2020,Standard Class,California,Bookcases,0.15,-18.147,3,308.499
Office Supplies,Lodi,United States,Edward Hooks,Other,12/04/2020,US-2020-142979,95240,Prismacolor Color Pencil Set,West,Corporate,18/04/2020,Standard Class,California,Art,0.0,16.2688,2,39.68
Office Supplies,Redondo Beach,United States,Kean Nguyen,Other,12/04/2020,US-2020-154599,90278,Recycled Pressboard Report Cover with Reinforced Top Hinge,West,Corporate,17/04/2020,Standard Class,California,Binders,0.2,6.5569,7,18.088
Office Supplies,Bloomington,United States,Stewart Visinsky,Xerox,12/04/2020,US-2020-158365,47401,Xerox 213,Central,Consumer,17/04/2020,Standard Class,Indiana,Paper,0.0,15.552,5,32.4
Technology,Redondo Beach,United States,Kean Nguyen,AT&T,12/04/2020,US-2020-154599,90278,AT&T 1080 Corded phone,West,Corporate,17/04/2020,Standard Class,California,Phones,0.2,38.3572,4,438.368
Technology,Redondo Beach,United States,Kean Nguyen,Pyle,12/04/2020,US-2020-154599,90278,Pyle PMP37LED,West,Corporate,17/04/2020,Standard Class,California,Phones,0.2,94.0702,14,1075.088
Office Supplies,Philadelphia,United States,Jonathan Doherty,Newell,13/04/2020,US-2020-122336,19140,Newell 314,East,Corporate,17/04/2020,Second Class,Pennsylvania,Art,0.2,1.116,4,17.856
Office Supplies,Philadelphia,United States,Jonathan Doherty,Fellowes,13/04/2020,US-2020-122336,19140,Fellowes PB200 Plastic Comb Binding Machine,East,Corporate,17/04/2020,Second Class,Pennsylvania,Binders,0.7,-407.976,10,509.97
Office Supplies,Philadelphia,United States,Jonathan Doherty,Other,13/04/2020,US-2020-122336,19140,Staples,East,Corporate,17/04/2020,Second Class,Pennsylvania,Fasteners,0.2,10.0724,13,30.992
Office Supplies,Baltimore,United States,Ben Ferrer,Avery,13/04/2020,US-2020-167724,21215,Avery 479,East,Home Office,18/04/2020,Standard Class,Maryland,Labels,0.0,3.6018,3,7.83
Technology,Philadelphia,United States,Jonathan Doherty,Square,13/04/2020,US-2020-122336,19140,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",East,Corporate,17/04/2020,Second Class,Pennsylvania,Phones,0.4,8.3916,12,71.928
Furniture,Los Angeles,United States,Paul Stevenson,Howard Miller,15/04/2020,US-2020-120740,90049,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",West,Home Office,15/04/2020,Same Day,California,Furnishings,0.0,76.9816,4,187.76
Office Supplies,Los Angeles,United States,Paul Stevenson,Belkin,15/04/2020,US-2020-120740,90049,Belkin F9G930V10-GRY 9 Outlet Surge,West,Home Office,15/04/2020,Same Day,California,Appliances,0.0,31.0184,2,106.96
Office Supplies,Wilmington,United States,Stephanie Phelps,Avery,16/04/2020,US-2020-155208,28403,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",South,Corporate,20/04/2020,Standard Class,North Carolina,Art,0.2,9.768,6,39.072
Furniture,Houston,United States,Kunst Miller,DMI,18/04/2020,US-2020-100678,77095,DMI Arturo Collection Mission-style Design Wood Chair,Central,Consumer,22/04/2020,Standard Class,Texas,Chairs,0.3,-18.1176,3,317.058
Office Supplies,Los Angeles,United States,John Lee,Binney & Smith,18/04/2020,US-2020-110849,90049,"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",West,Consumer,23/04/2020,Standard Class,California,Art,0.0,3.5475,5,10.75
Office Supplies,Houston,United States,Kunst Miller,Prang,18/04/2020,US-2020-100678,77095,Prang Dustless Chalk Sticks,Central,Consumer,22/04/2020,Standard Class,Texas,Art,0.2,1.008,2,2.688
