Category,City,Country/Region,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State/Province,Sub-Category,Discount,Profit,Quantity,Sales,Profit Margin,Delivery Days
Furniture,Springfield,United States,Mike Pelletier,Chromcraft,2020-03-28,US-2020-117380,45503,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,East,Home Office,2020-04-03,Standard Class,Ohio,Tables,0.4,-143.2548,1,330.588,-0.43,6
Furniture,Des Moines,United States,Christina VanderZanden,Hon,2020-03-28,US-2020-137869,50315,Hon 94000 Series Round Tables,Central,Consumer,2020-04-02,Standard Class,Iowa,Tables,No discount,106.6248,4,1184.72,0.09,5
Technology,Albuquerque,United States,Daniel Raglin,AT&T,2020-03-28,US-2020-100881,87105,AT&T TR1909W,West,Home Office,2020-04-01,Standard Class,New Mexico,Phones,0.2,22.6782,3,302.376,0.08,4
Furniture,Plano,United States,Mike Gockenbach,Bush,2020-03-29,US-2020-137274,75023,Bush Advantage Collection Racetrack Conference Table,Central,Consumer,2020-04-02,Standard Class,Texas,Tables,0.3,-152.7156,3,890.841,-0.17,4
Furniture,San Francisco,United States,Guy Armstrong,O'Sullivan,2020-03-30,US-2020-131247,94110,O'Sullivan Living Dimensions 2-Shelf Bookcases,West,Consumer,2020-04-04,Standard Class,California,Bookcases,0.15,-12.098,2,205.666,-0.06,5
Furniture,Brownsville,United States,Mark Packer,Global,2020-03-30,US-2020-162089,78521,"Global Stack Chair without Arms, Black",Central,Home Office,2020-04-01,First Class,Texas,Chairs,0.3,-9.093,7,127.302,-0.07,2
Office Supplies,New York City,United States,Susan Gilcrest,Sanford,2020-03-30,US-2020-105151,10009,"Sanford EarthWrite Recycled Pencils, Medium Soft, #2",East,Corporate,2020-03-31,First Class,New York,Art,No discount,2.94,5,10.5,0.28,1
Office Supplies,Long Beach,United States,Kunst Miller,Other,2020-03-30,US-2020-169033,11561,Peel-Off China Markers,East,Consumer,2020-04-03,Standard Class,New York,Art,No discount,20.853,5,49.65,0.42,4
Office Supplies,Seattle,United States,Dorris liebe,Avery,2020-03-30,US-2020-133424,98105,Avery 490,West,Corporate,2020-04-04,Standard Class,Washington,Labels,No discount,22.2,3,44.4,0.5,5
Office Supplies,Apple Valley,United States,Nat Carroll,Space Solutions,2020-03-30,US-2020-113124,55124,Space Solutions Commercial Steel Shelving,Central,Consumer,2020-04-05,Standard Class,Minnesota,Storage,No discount,6.465,2,129.3,0.05,6
Furniture,Tampa,United States,Trudy Glocke,Global,2020-03-31,US-2020-130428,33614,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",South,Consumer,2020-03-31,Same Day,Florida,Chairs,0.2,98.4802,7,1125.488,0.09,0
Office Supplies,San Francisco,United States,Alex Avila,Fellowes,2020-03-31,US-2020-128055,94122,Fellowes Advanced Computer Series Surge Protectors,West,Consumer,2020-04-05,Standard Class,California,Appliances,No discount,14.8344,2,52.98,0.28,5
Office Supplies,Miami,United States,Karen Bern,Avery,2020-03-31,US-2020-101770,33180,Avery Hole Reinforcements,South,Corporate,2020-04-04,Standard Class,Florida,Binders,0.7,-1.3083,1,1.869,-0.7,4
Office Supplies,Chicago,United States,Dorothy Dickinson,Fellowes,2020-03-31,US-2020-104759,60610,Fellowes Black Plastic Comb Bindings,Central,Consumer,2020-04-04,Standard Class,Illinois,Binders,0.8,-13.8278,7,8.134,-1.7,4
Office Supplies,Philadelphia,United States,Jas O'Carroll,Avery,2020-03-31,US-2020-112403,19120,Avery Round Ring Poly Binders,East,Consumer,2020-03-31,Same Day,Pennsylvania,Binders,0.7,-0.5964,1,0.852,-0.7,0
Office Supplies,Vallejo,United States,Kunst Miller,Pressboard,2020-04-01,US-2020-157021,94591,"Pressboard Data Binder, Crimson, 12"" X 8 1/2""",West,Consumer,2020-04-06,Second Class,California,Binders,0.2,5.5536,4,17.088,0.32,5
Office Supplies,Revere,United States,Katharine Harms,Other,2020-04-01,US-2020-138359,2151,Zipper Ring Binder Pockets,East,Corporate,2020-04-06,Standard Class,Massachusetts,Binders,No discount,3.0576,2,6.24,0.49,5
Furniture,Virginia Beach,United States,Anna Häberlin,Luxo,2020-04-02,US-2020-160276,23464,Luxo Adjustable Task Clamp Lamp,South,Corporate,2020-04-08,Standard Class,Virginia,Furnishings,No discount,46.1968,2,177.68,0.26,6
Office Supplies,Athens,United States,Rob Dowd,Euro Pro,2020-04-02,US-2020-164315,30605,Euro-Pro Shark Turbo Vacuum,South,Consumer,2020-04-08,Standard Class,Georgia,Appliances,No discount,40.274,5,154.9,0.26,6
Office Supplies,Houston,United States,Sam Craven,Xerox,2020-04-02,US-2020-157847,77095,Xerox 1947,Central,Consumer,2020-04-06,Second Class,Texas,Paper,0.2,10.465,7,33.488,0.31,4
Office Supplies,Los Angeles,United States,Katrina Edelman,Staple envelope,2020-04-03,US-2020-112291,90008,Staple envelope,West,Corporate,2020-04-08,Standard Class,California,Envelopes,No discount,5.58,2,11.16,0.5,5
Furniture,Detroit,United States,Maurice Satty,Advantus,2020-04-04,US-2020-133228,48205,Advantus Panel Wall Acrylic Frame,Central,Consumer,2020-04-09,Standard Class,Michigan,Furnishings,No discount,2.3521,1,5.47,0.43,5
Office Supplies,Los Angeles,United States,Mary Zewe,Avery,2020-04-04,US-2020-128685,90008,Avery Non-Stick Binders,West,Corporate,2020-04-05,First Class,California,Binders,0.2,2.245,2,7.184,0.31,1
Office Supplies,San Francisco,United States,Paul Knutson,Avery,2020-04-04,US-2020-105172,94109,Avery 518,West,Home Office,2020-04-09,Standard Class,California,Labels,No discount,9.072,6,18.9,0.48,5
Office Supplies,Lafayette,United States,Ken Black,Xerox,2020-04-04,US-2020-149538,70506,Xerox 1966,South,Corporate,2020-04-08,Standard Class,Louisiana,Paper,No discount,6.3504,2,12.96,0.49,4
Office Supplies,Alexandria,United States,Greg Maxwell,Newell,2020-04-05,US-2020-102988,22304,Newell 321,South,Corporate,2020-04-09,Second Class,Virginia,Art,No discount,6.6584,7,22.96,0.29,4
Office Supplies,Dearborn Heights,United States,Ruben Dartt,Stanley,2020-04-05,US-2020-149104,48127,Stanley Contemporary Battery Pencil Sharpeners,Central,Consumer,2020-04-07,Second Class,Michigan,Art,No discount,7.476,2,26.7,0.28,2
Office Supplies,Richmond,United States,Roy Phan,Ibico,2020-04-05,US-2020-157231,40475,Ibico Standard Transparent Covers,South,Corporate,2020-04-09,Standard Class,Kentucky,Binders,No discount,56.5264,7,115.36,0.49,4
Office Supplies,New York City,United States,Tracy Hopkins,Other,2020-04-05,US-2020-113887,10035,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",East,Home Office,2020-04-07,First Class,New York,Paper,No discount,26.6304,1,55.48,0.48,2
Office Supplies,Decatur,United States,John Grady,Other,2020-04-05,US-2020-151001,62521,Adjustable Personal File Tote,Central,Corporate,2020-04-07,First Class,Illinois,Storage,0.2,3.9072,4,52.096,0.08,2
Furniture,Los Angeles,United States,Andy Yotov,Tenex,2020-04-06,US-2020-102652,90049,Tenex B1-RE Series Chair Mats for Low Pile Carpets,West,Corporate,2020-04-12,Standard Class,California,Furnishings,No discount,15.6332,2,91.96,0.17,6
Furniture,Seattle,United States,Scott Cohen,Chromcraft,2020-04-06,US-2020-169803,98115,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",West,Corporate,2020-04-12,Standard Class,Washington,Tables,No discount,111.1035,3,653.55,0.17,6
Furniture,Philadelphia,United States,Shirley Daniels,KI,2020-04-06,US-2020-118486,19143,KI Adjustable-Height Table,East,Home Office,2020-04-08,First Class,Pennsylvania,Tables,0.4,-36.1116,3,154.764,-0.23,2
Office Supplies,Los Angeles,United States,Frank Hawley,Boston,2020-04-06,US-2020-153808,90004,Boston Home & Office Model 2000 Electric Pencil Sharpeners,West,Corporate,2020-04-10,Second Class,California,Art,No discount,18.447,3,70.95,0.26,4
Office Supplies,Lancaster,United States,Guy Phonely,Other,2020-04-06,US-2020-136742,17602,Large Capacity Hanging Post Binders,East,Corporate,2020-04-10,Standard Class,Pennsylvania,Binders,0.7,-35.928,6,44.91,-0.8,4
Furniture,Mobile,United States,Pauline Johnson,Other,2020-04-07,US-2020-124023,36608,"Stacking Tray, Side-Loading, Legal, Smoke",South,Consumer,2020-04-10,First Class,Alabama,Furnishings,No discount,2.7776,2,8.96,0.31,3
Office Supplies,Columbia,United States,Roland Schwarz,Xerox,2020-04-07,US-2020-128846,29203,Xerox 1945,South,Corporate,2020-04-12,Standard Class,South Carolina,Paper,No discount,60.2553,3,122.97,0.49,5
Office Supplies,Marietta,United States,Valerie Mitchum,Xerox,2020-04-07,US-2020-165806,30062,Xerox 226,South,Home Office,2020-04-07,Same Day,Georgia,Paper,No discount,27.9936,9,58.32,0.48,0
Furniture,Decatur,United States,Ruben Ausman,SAFCO,2020-04-08,US-2020-118997,35601,"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",South,Corporate,2020-04-12,Standard Class,Alabama,Tables,No discount,316.1392,8,1215.92,0.26,4
Furniture,Concord,United States,Nathan Mautz,Bevis,2020-04-08,US-2020-150581,94521,Bevis 36 x 72 Conference Tables,West,Home Office,2020-04-12,Standard Class,California,Tables,0.2,2.4898,1,99.592,0.02,4
Furniture,Toledo,United States,John Stevenson,Riverside,2020-04-08,US-2020-121769,43615,Riverside Furniture Stanwyck Manor Table Series,East,Consumer,2020-04-12,Standard Class,Ohio,Tables,0.4,-94.6605,1,172.11,-0.55,4
Office Supplies,Glendale,United States,Jim Mitchum,OIC,2020-04-08,US-2020-100363,85301,Binder Clips by OIC,West,Corporate,2020-04-15,Standard Class,Arizona,Fasteners,0.2,0.8288,2,2.368,0.35,7
Office Supplies,Chandler,United States,Pauline Chand,Alliance,2020-04-08,US-2020-163797,85224,"Alliance Super-Size Bands, Assorted Sizes",West,Home Office,2020-04-13,Standard Class,Arizona,Fasteners,0.2,-11.8256,8,49.792,-0.24,5
Office Supplies,Lewiston,United States,Sanjit Engle,GBC,2020-04-11,US-2020-121734,83501,GBC Personal VeloBind Strips,West,Consumer,2020-04-16,Standard Class,Idaho,Binders,0.2,3.3544,1,9.584,0.35,5
Office Supplies,Miami,United States,Jay Kimmel,Acco,2020-04-11,US-2020-102715,33180,"Acco Banker's Clasps, 5 3/4""-Long",South,Consumer,2020-04-13,Second Class,Florida,Fasteners,0.2,2.3328,3,6.912,0.34,2
Office Supplies,Great Falls,United States,Michelle Moray,Eldon,2020-04-11,US-2020-110555,59405,Eldon Simplefile Box Office,West,Consumer,2020-04-18,Standard Class,Montana,Storage,No discount,24.3824,7,87.08,0.28,7
Technology,Austin,United States,Gary Mitchum,Jawbone,2020-04-11,US-2020-138940,78745,Jawbone JAMBOX Wireless Bluetooth Speaker,Central,Home Office,2020-04-16,Second Class,Texas,Phones,0.2,265.4232,6,758.352,0.35,5
Furniture,Redondo Beach,United States,Kean Nguyen,O'Sullivan,2020-04-12,US-2020-154599,90278,O'Sullivan Living Dimensions 2-Shelf Bookcases,West,Corporate,2020-04-17,Standard Class,California,Bookcases,0.15,-18.147,3,308.499,-0.06,5
Office Supplies,Lodi,United States,Edward Hooks,Other,2020-04-12,US-2020-142979,95240,Prismacolor Color Pencil Set,West,Corporate,2020-04-18,Standard Class,California,Art,No discount,16.2688,2,39.68,0.41,6
Office Supplies,Bloomington,United States,Stewart Visinsky,Xerox,2020-04-12,US-2020-158365,47401,Xerox 213,Central,Consumer,2020-04-17,Standard Class,Indiana,Paper,No discount,15.552,5,32.4,0.48,5
Office Supplies,Philadelphia,United States,Jonathan Doherty,Newell,2020-04-13,US-2020-122336,19140,Newell 314,East,Corporate,2020-04-17,Second Class,Pennsylvania,Art,0.2,1.116,4,17.856,0.06,4
Office Supplies,Baltimore,United States,Ben Ferrer,Avery,2020-04-13,US-2020-167724,21215,Avery 479,East,Home Office,2020-04-18,Standard Class,Maryland,Labels,No discount,3.6018,3,7.83,0.46,5
Furniture,Los Angeles,United States,Paul Stevenson,Howard Miller,2020-04-15,US-2020-120740,90049,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",West,Home Office,2020-04-15,Same Day,California,Furnishings,No discount,76.9816,4,187.76,0.41,0
Office Supplies,Wilmington,United States,Stephanie Phelps,Avery,2020-04-16,US-2020-155208,28403,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",South,Corporate,2020-04-20,Standard Class,North Carolina,Art,0.2,9.768,6,39.072,0.25,4
Furniture,Houston,United States,Kunst Miller,DMI,2020-04-18,US-2020-100678,77095,DMI Arturo Collection Mission-style Design Wood Chair,Central,Consumer,2020-04-22,Standard Class,Texas,Chairs,0.3,-18.1176,3,317.058,-0.06,4
Office Supplies,Los Angeles,United States,John Lee,Binney & Smith,2020-04-18,US-2020-110849,90049,"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",West,Consumer,2020-04-23,Standard Class,California,Art,No discount,3.5475,5,10.75,0.33,5
Furniture,San Jose,United States,Nicole Fjeld,Executive Impressions,2020-04-19,US-2020-169460,95123,"Executive Impressions 13"" Chairman Wall Clock",West,Home Office,2020-04-21,Second Class,California,Furnishings,No discount,26.649,3,76.14,0.35,2
Office Supplies,Arlington,United States,Allen Goldenen,GBC,2020-04-19,US-2020-158470,22204,GBC Durable Plastic Covers,South,Consumer,2020-04-23,Second Class,Virginia,Binders,No discount,26.703,3,58.05,0.46,4
Furniture,Los Angeles,United States,Benjamin Patterson,GE,2020-04-20,US-2020-101462,90045,"GE 4 Foot Flourescent Tube, 40 Watt",West,Consumer,2020-04-25,Standard Class,California,Furnishings,No discount,27.5632,4,59.92,0.46,5
Furniture,Houston,United States,Seth Vernon,Bush,2020-04-20,US-2020-134572,77070,Bush Advantage Collection Round Conference Table,Central,Consumer,2020-04-22,Second Class,Texas,Tables,0.3,-95.67,5,744.1,-0.13,2
Office Supplies,Los Angeles,United States,Allen Armold,ACCOHIDE,2020-04-21,US-2020-158064,90008,ACCOHIDE Binder by Acco,West,Consumer,2020-04-25,Standard Class,California,Binders,0.2,5.5755,5,16.52,0.34,4
Office Supplies,Henderson,United States,Dorothy Badders,SAFCO,2020-04-21,US-2020-136336,42420,"SAFCO Commercial Wire Shelving, Black",South,Corporate,2020-04-26,Standard Class,Kentucky,Storage,No discount,0.0,6,828.84,0.0,5
Office Supplies,Troy,United States,Aaron Hawkins,ACCOHIDE,2020-04-22,US-2020-122070,12180,"ACCOHIDE 3-Ring Binder, Blue, 1""",East,Corporate,2020-04-24,Second Class,New York,Binders,0.2,3.3453,3,9.912,0.34,2
Furniture,Columbus,United States,Laurel Beltran,Global,2020-04-23,US-2020-150119,43229,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",East,Home Office,2020-04-27,Standard Class,Ohio,Chairs,0.3,-12.0588,2,281.372,-0.04,4
Office Supplies,Philadelphia,United States,Theresa Swint,Wilson Jones,2020-04-23,US-2020-112564,19134,Wilson Jones Suede Grain Vinyl Binders,East,Corporate,2020-04-24,First Class,Pennsylvania,Binders,0.7,-1.7514,3,2.502,-0.7,1
Office Supplies,San Francisco,United States,Nathan Mautz,Xerox,2020-04-23,US-2020-111857,94109,Xerox 1891,West,Home Office,2020-04-26,Second Class,California,Paper,No discount,22.9877,1,48.91,0.47,3
Furniture,San Gabriel,United States,Beth Thompson,Other,2020-04-25,US-2020-166954,91776,GuestStacker Chair with Chrome Finish Legs,West,Home Office,2020-04-30,Standard Class,California,Chairs,0.2,148.704,5,1487.04,0.1,5
Office Supplies,Houston,United States,Dianna Arnett,Other,2020-04-25,US-2020-157406,77095,12 Colored Short Pencils,Central,Home Office,2020-04-29,Standard Class,Texas,Art,0.2,0.546,3,6.24,0.09,4
Technology,Wilmington,United States,Lena Creighton,AT&T,2020-04-25,US-2020-110100,28403,AT&T CL2909,South,Consumer,2020-04-29,Standard Class,North Carolina,Phones,0.2,37.797,3,302.376,0.12,4
Furniture,Los Angeles,United States,Aleksandra Gannaway,Bevis,2020-04-26,US-2020-147298,90049,Bevis Steel Folding Chairs,West,Corporate,2020-05-03,Standard Class,California,Chairs,0.2,23.028,3,230.28,0.1,7
Office Supplies,Los Angeles,United States,Marc Harrigan,Newell,2020-04-26,US-2020-116785,90036,Newell 347,West,Home Office,2020-04-30,Standard Class,California,Art,No discount,6.206,5,21.4,0.29,4
Office Supplies,Baltimore,United States,Muhammed Yedwab,Other,2020-04-28,US-2020-118976,21215,Blackstonian Pencils,East,Corporate,2020-05-03,Standard Class,Maryland,Art,No discount,1.4952,2,5.34,0.28,5
Office Supplies,Newark,United States,George Bell,Avery,2020-04-28,US-2020-140228,43055,Avery File Folder Labels,East,Corporate,2020-05-03,Standard Class,Ohio,Labels,0.2,2.5056,3,6.912,0.36,5
Technology,Jamestown,United States,David Smith,Logitech,2020-04-28,US-2020-132983,14701,Logitech G600 MMO Gaming Mouse,East,Corporate,2020-05-03,Standard Class,New York,Accessories,No discount,57.5928,2,159.98,0.36,5
Technology,San Francisco,United States,Arianne Irving,Samsung,2020-04-28,US-2020-131387,94122,Samsung Galaxy Mega 6.3,West,Consumer,2020-04-30,First Class,California,Phones,0.2,125.997,5,1679.96,0.08,2
Furniture,Memphis,United States,Laura Armstrong,Global,2020-04-29,US-2020-107811,38109,Global Leather Executive Chair,South,Corporate,2020-05-03,Standard Class,Tennessee,Chairs,0.2,70.198,2,561.584,0.12,4
Furniture,Lake Charles,United States,Harry Greene,Global,2020-04-29,US-2020-142727,70601,"Global Stack Chair without Arms, Black",South,Consumer,2020-05-01,Second Class,Louisiana,Chairs,No discount,12.99,2,51.96,0.25,2
Furniture,Rochester,United States,Lauren Leatherbury,DAX,2020-04-29,US-2020-134061,14609,Dax Clear Box Frame,East,Consumer,2020-05-04,Standard Class,New York,Furnishings,No discount,5.9364,2,17.46,0.34,5
Technology,Dover,United States,Katherine Hughes,Square,2020-04-29,US-2020-118304,19901,Square Credit Card Reader,East,Consumer,2020-05-04,Standard Class,Delaware,Phones,No discount,5.1948,2,19.98,0.26,5
Office Supplies,Louisville,United States,Justin MacKendrick,Hunt,2020-04-30,US-2020-160094,40214,Hunt Boston Vacuum Mount KS Pencil Sharpener,South,Consumer,2020-05-02,First Class,Kentucky,Art,No discount,45.487,5,174.95,0.26,2
Technology,Jackson,United States,Tamara Manning,Maxell,2020-04-30,US-2020-156006,39212,Maxell 4.7GB DVD-RW 3/Pack,South,Consumer,2020-05-02,Second Class,Mississippi,Accessories,No discount,16.2486,3,47.79,0.34,2
Office Supplies,Columbus,United States,Andrew Roberts,Belkin,2020-05-02,US-2020-115056,43229,Belkin 6 Outlet Metallic Surge Strip,East,Consumer,2020-05-02,Same Day,Ohio,Appliances,0.2,1.9602,3,26.136,0.08,0
Technology,Lakeland,United States,Cari Schnelling,Brother,2020-05-02,US-2020-124618,33801,Brother DCP1000 Digital 3 in 1 Multifunction Machine,South,Consumer,2020-05-04,Second Class,Florida,Copiers,0.2,89.997,2,479.984,0.19,2
Office Supplies,Yonkers,United States,Nathan Cano,Avery,2020-05-03,US-2020-135755,10701,"Avery Durable Plastic 1"" Binders",East,Consumer,2020-05-10,Standard Class,New York,Binders,0.2,3.9498,3,10.896,0.36,7
Office Supplies,Appleton,United States,Joni Sundaresam,Avery,2020-05-03,US-2020-130274,54915,Avery 481,Central,Home Office,2020-05-05,First Class,Wisconsin,Labels,No discount,10.3488,7,21.56,0.48,2
Furniture,Middletown,United States,Andrew Allen,DAX,2020-05-04,US-2020-155271,6457,DAX Wood Document Frame,East,Consumer,2020-05-04,Same Day,Connecticut,Furnishings,No discount,9.8856,2,27.46,0.36,0
Furniture,Seattle,United States,Bill Shonely,Eldon,2020-05-04,US-2020-148194,98105,"Eldon Regeneration Recycled Desk Accessories, Smoke",West,Corporate,2020-05-07,First Class,Washington,Furnishings,No discount,3.8976,7,12.18,0.32,3
Office Supplies,Houston,United States,Nat Carroll,Boston,2020-05-04,US-2020-111899,77036,Boston Home & Office Model 2000 Electric Pencil Sharpeners,Central,Consumer,2020-05-05,First Class,Texas,Art,0.2,2.838,2,37.84,0.08,1
Office Supplies,Jackson,United States,Paul MacIntyre,Fellowes,2020-05-04,US-2020-117709,49201,Fellowes Binding Cases,Central,Consumer,2020-05-08,Standard Class,Michigan,Binders,No discount,21.06,4,46.8,0.45,4
Furniture,San Antonio,United States,Emily Burns,Global,2020-05-05,US-2020-110219,78207,"Global Value Mid-Back Manager's Chair, Gray",Central,Consumer,2020-05-08,First Class,Texas,Chairs,0.3,-9.1335,3,127.869,-0.07,3
Office Supplies,Richmond,United States,Peter Fuller,Newell,2020-05-05,US-2020-166457,40475,Newell 350,South,Consumer,2020-05-09,Second Class,Kentucky,Art,No discount,1.9024,2,6.56,0.29,4
Office Supplies,Arlington,United States,Giulietta Dortch,Storex,2020-05-05,US-2020-111934,22204,Storex Dura Pro Binders,South,Corporate,2020-05-07,First Class,Virginia,Binders,No discount,5.346,2,11.88,0.45,2
Office Supplies,Freeport,United States,Katharine Harms,Eldon,2020-05-05,US-2020-160738,61032,Eldon Portable Mobile Manager,Central,Corporate,2020-05-10,Standard Class,Illinois,Storage,0.2,3.9592,2,45.248,0.09,5
Office Supplies,Los Angeles,United States,Steve Nguyen,Other,2020-05-06,US-2020-154879,90004,Model L Table or Wall-Mount Pencil Sharpener,West,Home Office,2020-05-11,Standard Class,California,Art,No discount,30.2232,6,107.94,0.28,5
Office Supplies,Los Angeles,United States,Harold Pawlan,Wilson Jones,2020-05-06,US-2020-121664,90049,Wilson Jones Legal Size Ring Binders,West,Home Office,2020-05-10,Standard Class,California,Binders,0.2,52.776,8,140.736,0.38,4
Furniture,Lawrence,United States,Carol Triggs,Other,2020-05-07,US-2020-166086,1841,"Lifetime Advantage Folding Chairs, 4/Carton",East,Consumer,2020-05-12,Standard Class,Massachusetts,Chairs,No discount,244.2496,4,872.32,0.28,5
Furniture,Toronto,Canada,Carol Triggs,Other,2020-05-07,CA-2020-166086,M3C,"Lifetime Advantage Folding Chairs, 4/Carton",East,Consumer,2020-05-12,Standard Class,Ontario,Chairs,No discount,244.2496,4,872.32,0.28,5
Technology,Philadelphia,United States,Kean Thornton,Hewlett-Packard,2020-05-08,US-2020-116666,19134,Hewlett Packard LaserJet 3310 Copier,East,Consumer,2020-05-10,First Class,Pennsylvania,Copiers,0.4,239.996,5,1799.97,0.13,2
Office Supplies,Henderson,United States,Sean Braxton,Avery,2020-05-09,US-2020-158771,42420,Avery 518,South,Corporate,2020-05-09,Same Day,Kentucky,Labels,No discount,4.536,3,9.45,0.48,0
Technology,San Francisco,United States,Patrick Gardner,Sony,2020-05-09,US-2020-102071,94110,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,West,Consumer,2020-05-15,Standard Class,California,Accessories,No discount,40.3128,3,167.97,0.24,6
Furniture,Philadelphia,United States,Art Foster,Bestar,2020-05-10,US-2020-114181,19134,Bestar Classic Bookcase,East,Consumer,2020-05-14,Second Class,Pennsylvania,Bookcases,0.5,-216.9783,7,349.965,-0.62,4
Furniture,San Jose,United States,Greg Matthias,Hon,2020-05-10,US-2020-103310,95123,Hon Pagoda Stacking Chairs,West,Consumer,2020-05-15,Standard Class,California,Chairs,0.2,32.098,1,256.784,0.12,5
Office Supplies,Kent,United States,Arianne Irving,Strathmore,2020-05-10,US-2020-159709,98031,"Strathmore #10 Envelopes, Ultimate White",West,Consumer,2020-05-15,Standard Class,Washington,Envelopes,No discount,77.4837,3,158.13,0.49,5
Furniture,Huntsville,United States,Victoria Wilson,Hon,2020-05-11,US-2020-152100,77340,Hon Multipurpose Stacking Arm Chairs,Central,Corporate,2020-05-16,Standard Class,Texas,Chairs,0.3,-69.312,8,1212.96,-0.06,5
Furniture,Fort Worth,United States,Paul Gonzalez,Deflect-o,2020-05-11,US-2020-103849,76106,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Central,Consumer,2020-05-16,Standard Class,Texas,Furnishings,0.6,-84.2928,4,66.112,-1.28,5
Office Supplies,Watertown,United States,Brooke Gillingham,Staple holder,2020-05-11,US-2020-127523,13601,Staple holder,East,Corporate,2020-05-18,Standard Class,New York,Appliances,No discount,9.6957,3,35.91,0.27,7
Office Supplies,Chicago,United States,Harold Dahlen,Avery,2020-05-11,US-2020-119172,60610,Avery Arch Ring Binders,Central,Home Office,2020-05-15,Standard Class,Illinois,Binders,0.8,-172.557,9,104.58,-1.65,4
Technology,Houston,United States,Raymond Messe,Logitech,2020-05-11,US-2020-139017,77095,Logitech ClearChat Comfort/USB Headset H390,Central,Consumer,2020-05-17,Standard Class,Texas,Accessories,0.2,7.6154,2,46.864,0.16,6
Furniture,Milwaukee,United States,Hunter Lopez,DAX,2020-05-12,US-2020-127159,53209,"DAX Value U-Channel Document Frames, Easel Back",Central,Consumer,2020-05-15,First Class,Wisconsin,Furnishings,No discount,10.7849,7,34.79,0.31,3
Furniture,Franklin,United States,Kean Thornton,Bevis,2020-05-12,US-2020-155887,2038,"Bevis Traditional Conference Table Top, Plinth Base",East,Consumer,2020-05-17,Standard Class,Massachusetts,Tables,0.3,-130.0104,3,700.056,-0.19,5
Furniture,Los Angeles,United States,Aaron Hawkins,Iceberg,2020-05-13,US-2020-113768,90004,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",West,Corporate,2020-05-19,Standard Class,California,Chairs,0.2,20.9592,6,279.456,0.08,6
Office Supplies,Hialeah,United States,Erica Hernandez,GBC,2020-05-13,US-2020-140165,33012,GBC DocuBind P100 Manual Binding Machine,South,Home Office,2020-05-15,First Class,Florida,Binders,0.7,-331.96,8,398.352,-0.83,2
Office Supplies,West Jordan,United States,Alejandro Grove,Fellowes,2020-05-13,US-2020-167164,84084,Fellowes Super Stor/Drawer,West,Consumer,2020-05-15,Second Class,Utah,Storage,No discount,9.99,2,55.5,0.18,2
Technology,Oakland,United States,Naresj Patel,Plantronics,2020-05-13,US-2020-114433,94601,Plantronics Audio 478 Stereo USB Headset,West,Consumer,2020-05-17,Standard Class,California,Accessories,No discount,52.4895,3,149.97,0.35,4
Furniture,Saint Petersburg,United States,Anthony Johnson,Electrix,2020-05-14,US-2020-106810,33710,Electrix Halogen Magnifier Lamp,South,Corporate,2020-05-20,Standard Class,Florida,Furnishings,0.2,23.316,2,310.88,0.08,6
Furniture,Los Angeles,United States,Pauline Webber,Iceberg,2020-05-16,US-2020-125150,90036,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",West,Corporate,2020-05-23,Standard Class,California,Chairs,0.2,17.466,5,232.88,0.08,7
Technology,San Francisco,United States,Cindy Chapman,Imation,2020-05-16,US-2020-163146,94122,Imation Clip USB flash drive - 8 GB,West,Consumer,2020-05-20,Standard Class,California,Accessories,No discount,3.384,3,56.4,0.06,4
Office Supplies,Eau Claire,United States,Pete Armstrong,Other,2020-05-17,US-2020-148761,54703,Surelock Post Binders,Central,Home Office,2020-05-21,Standard Class,Wisconsin,Binders,No discount,45.84,3,91.68,0.5,4
Furniture,Akron,United States,Ted Trevino,Deflect-o,2020-05-18,US-2020-164224,44312,Deflect-o Glass Clear Studded Chair Mats,East,Consumer,2020-05-20,Second Class,Ohio,Furnishings,0.2,3.7308,3,149.232,0.02,2
Office Supplies,Dallas,United States,George Ashbrook,Xerox,2020-05-18,US-2020-133963,75220,Xerox 1949,Central,Consumer,2020-05-22,Second Class,Texas,Paper,0.2,1.4442,1,3.984,0.36,4
Technology,Cleveland,United States,Bruce Stewart,Apple,2020-05-18,US-2020-103373,44105,Apple iPhone 5,East,Consumer,2020-05-24,Standard Class,Ohio,Phones,0.4,-168.9558,2,779.796,-0.22,6
